timestamp,speed_mph,latitude,longitude,brake_status
2026-03-14T14:41:08,38,27.9502,-82.4576,false
2026-03-14T14:41:09,39,27.9503,-82.4575,false
2026-03-14T14:41:10,40,27.9504,-82.4574,false
2026-03-14T14:41:11,41,27.9505,-82.4573,false
2026-03-14T14:41:12,42,27.9506,-82.4572,false
2026-03-14T14:41:13,41,27.9507,-82.4571,false
2026-03-14T14:41:14,41,27.9507,-82.4571,false
2026-03-14T14:41:15,40,27.9507,-82.4570,false
2026-03-14T14:41:16,39,27.9507,-82.4570,false
2026-03-14T14:41:17,39,27.9508,-82.4570,false
2026-03-14T14:41:18,39,27.9508,-82.4570,false
2026-03-14T14:41:19,28,27.9509,-82.4569,true
2026-03-14T14:41:20,18,27.9510,-82.4568,true
2026-03-14T14:41:21,7,27.9511,-82.4567,true
2026-03-14T14:41:22,3,27.9511,-82.4567,true
2026-03-14T14:41:23,1,27.9512,-82.4566,true
2026-03-14T14:41:24,0,27.9512,-82.4566,false
