timestamp,speed_mph,latitude,longitude,brake_status,acceleration,heading
2026-05-06 15:07:00,6,30.332200,-81.655700,false,0.00,180
2026-05-06 15:07:01,5,30.332230,-81.655680,false,0.00,188
2026-05-06 15:07:02,6,30.332260,-81.655660,false,0.00,196
2026-05-06 15:07:03,5,30.332290,-81.655640,false,0.00,204
2026-05-06 15:07:04,6,30.332320,-81.655620,false,0.00,212
2026-05-06 15:07:05,5,30.332350,-81.655600,false,0.00,220
2026-05-06 15:07:06,6,30.332380,-81.655580,false,0.00,228
2026-05-06 15:07:07,5,30.332410,-81.655560,false,0.00,236
2026-05-06 15:07:08,6,30.332440,-81.655540,false,0.00,244
2026-05-06 15:07:09,5,30.332470,-81.655520,false,0.00,252
2026-05-06 15:07:10,5,30.332500,-81.655500,false,-0.05,360
2026-05-06 15:07:11,4.6,30.332530,-81.655480,false,-0.05,370
2026-05-06 15:07:12,4.2,30.332560,-81.655460,false,-0.05,380
2026-05-06 15:07:13,3.8,30.332590,-81.655440,true,-0.05,390
2026-05-06 15:07:14,3.4,30.332620,-81.655420,true,-0.05,400
2026-05-06 15:07:15,3,30.332650,-81.655400,true,-0.05,410
2026-05-06 15:07:16,2.5999999999999996,30.332680,-81.655380,true,-0.05,420
2026-05-06 15:07:17,2.1999999999999997,30.332710,-81.655360,true,-0.05,430
2026-05-06 15:07:18,0,30.332740,-81.655340,false,0.00,440
2026-05-06 15:07:19,0,30.332770,-81.655320,false,0.00,440
2026-05-06 15:07:20,0,30.332800,-81.655300,false,0.00,440
2026-05-06 15:07:21,0,30.332830,-81.655280,false,0.00,440
2026-05-06 15:07:22,0,30.332860,-81.655260,false,0.00,440
2026-05-06 15:07:23,0,30.332890,-81.655240,false,0.00,440
2026-05-06 15:07:24,0,30.332920,-81.655220,false,0.00,440
2026-05-06 15:07:25,0,30.332950,-81.655200,false,0.00,440
